scenario_id,sensor,window_start,fault_type,severity,n_fault_samples,fault_pct
45,humidity,2022-04-23 07:07:00,bias,low,781,54.24
46,humidity,2022-04-23 07:07:00,bias,medium,1025,71.18
47,humidity,2022-04-23 07:07:00,bias,high,968,67.22
48,humidity,2022-04-23 07:07:00,noise,low,360,25.0
49,humidity,2022-04-23 07:07:00,noise,medium,360,25.0
50,humidity,2022-04-23 07:07:00,noise,high,360,25.0
51,humidity,2022-04-23 07:07:00,dropout,low,15,1.04
52,humidity,2022-04-23 07:07:00,dropout,medium,60,4.17
53,humidity,2022-04-23 07:07:00,dropout,high,240,16.67
54,humidity,2022-04-24 09:01:00,spike,low,2,0.14
55,humidity,2022-04-24 09:01:00,spike,medium,7,0.49
56,humidity,2022-04-24 09:01:00,spike,high,14,0.97
57,humidity,2022-04-24 09:01:00,stuck,low,90,6.25
58,humidity,2022-04-24 09:01:00,stuck,medium,240,16.67
59,humidity,2022-04-24 09:01:00,stuck,high,480,33.33
60,humidity,2022-04-24 09:01:00,drift,low,745,51.74
61,humidity,2022-04-24 09:01:00,drift,medium,975,67.71
62,humidity,2022-04-24 09:01:00,drift,high,877,60.9
63,humidity,2022-04-24 09:01:00,bias,low,978,67.92
64,humidity,2022-04-24 09:01:00,bias,medium,958,66.53
65,humidity,2022-04-24 09:01:00,bias,high,1051,72.99
66,humidity,2022-04-24 09:01:00,noise,low,360,25.0
67,humidity,2022-04-24 09:01:00,noise,medium,360,25.0
68,humidity,2022-04-24 09:01:00,noise,high,360,25.0
69,humidity,2022-04-24 09:01:00,dropout,low,15,1.04
70,humidity,2022-04-24 09:01:00,dropout,medium,60,4.17
71,humidity,2022-04-24 09:01:00,dropout,high,240,16.67
72,soil_moisture,2022-05-16 12:54:00,spike,low,2,0.14
73,soil_moisture,2022-05-16 12:54:00,spike,medium,7,0.49
74,soil_moisture,2022-05-16 12:54:00,spike,high,14,0.97
75,soil_moisture,2022-05-16 12:54:00,stuck,low,90,6.25
76,soil_moisture,2022-05-16 12:54:00,stuck,medium,240,16.67
77,soil_moisture,2022-05-16 12:54:00,stuck,high,480,33.33
78,soil_moisture,2022-05-16 12:54:00,drift,low,961,66.74
79,soil_moisture,2022-05-16 12:54:00,drift,medium,909,63.12
80,soil_moisture,2022-05-16 12:54:00,drift,high,1010,70.14
81,soil_moisture,2022-05-16 12:54:00,bias,low,1016,70.56
82,soil_moisture,2022-05-16 12:54:00,bias,medium,949,65.9
83,soil_moisture,2022-05-16 12:54:00,bias,high,1026,71.25
84,soil_moisture,2022-05-16 12:54:00,noise,low,360,25.0
85,soil_moisture,2022-05-16 12:54:00,noise,medium,360,25.0
86,soil_moisture,2022-05-16 12:54:00,noise,high,360,25.0
87,soil_moisture,2022-05-16 12:54:00,dropout,low,15,1.04
88,soil_moisture,2022-05-16 12:54:00,dropout,medium,60,4.17
89,soil_moisture,2022-05-16 12:54:00,dropout,high,240,16.67
90,soil_moisture,2022-05-19 15:51:00,spike,low,2,0.14
91,soil_moisture,2022-05-19 15:51:00,spike,medium,7,0.49
92,soil_moisture,2022-05-19 15:51:00,spike,high,14,0.97
93,soil_moisture,2022-05-19 15:51:00,stuck,low,90,6.25
94,soil_moisture,2022-05-19 15:51:00,stuck,medium,240,16.67
95,soil_moisture,2022-05-19 15:51:00,stuck,high,480,33.33
96,soil_moisture,2022-05-19 15:51:00,drift,low,826,57.36
97,soil_moisture,2022-05-19 15:51:00,drift,medium,840,58.33
98,soil_moisture,2022-05-19 15:51:00,drift,high,883,61.32
99,soil_moisture,2022-05-19 15:51:00,bias,low,950,65.97
100,soil_moisture,2022-05-19 15:51:00,bias,medium,767,53.26
101,soil_moisture,2022-05-19 15:51:00,bias,high,943,65.49
102,soil_moisture,2022-05-19 15:51:00,noise,low,360,25.0
103,soil_moisture,2022-05-19 15:51:00,noise,medium,360,25.0
104,soil_moisture,2022-05-19 15:51:00,noise,high,360,25.0
105,soil_moisture,2022-05-19 15:51:00,dropout,low,15,1.04
106,soil_moisture,2022-05-19 15:51:00,dropout,medium,60,4.17
107,soil_moisture,2022-05-19 15:51:00,dropout,high,240,16.67
108,soil_moisture,2022-05-21 12:39:00,spike,low,2,0.14
109,soil_moisture,2022-05-21 12:39:00,spike,medium,7,0.49
110,soil_moisture,2022-05-21 12:39:00,spike,high,14,0.97
111,soil_moisture,2022-05-21 12:39:00,stuck,low,90,6.25
112,soil_moisture,2022-05-21 12:39:00,stuck,medium,240,16.67
113,soil_moisture,2022-05-21 12:39:00,stuck,high,480,33.33
114,soil_moisture,2022-05-21 12:39:00,drift,low,820,56.94
115,soil_moisture,2022-05-21 12:39:00,drift,medium,736,51.11
116,soil_moisture,2022-05-21 12:39:00,drift,high,874,60.69
117,soil_moisture,2022-05-21 12:39:00,bias,low,983,68.26
118,soil_moisture,2022-05-21 12:39:00,bias,medium,834,57.92
119,soil_moisture,2022-05-21 12:39:00,bias,high,1064,73.89
120,soil_moisture,2022-05-21 12:39:00,noise,low,360,25.0
121,soil_moisture,2022-05-21 12:39:00,noise,medium,360,25.0
122,soil_moisture,2022-05-21 12:39:00,noise,high,360,25.0
123,soil_moisture,2022-05-21 12:39:00,dropout,low,15,1.04
124,soil_moisture,2022-05-21 12:39:00,dropout,medium,60,4.17
125,soil_moisture,2022-05-21 12:39:00,dropout,high,240,16.67
126,temperature,2022-05-19 10:25:00,spike,low,2,0.14
127,temperature,2022-05-19 10:25:00,spike,medium,7,0.49
128,temperature,2022-05-19 10:25:00,spike,high,14,0.97
129,temperature,2022-05-19 10:25:00,stuck,low,90,6.25
130,temperature,2022-05-19 10:25:00,stuck,medium,240,16.67
131,temperature,2022-05-19 10:25:00,stuck,high,480,33.33
132,temperature,2022-05-19 10:25:00,drift,low,905,62.85
133,temperature,2022-05-19 10:25:00,drift,medium,810,56.25
134,temperature,2022-05-19 10:25:00,drift,high,1077,74.79
135,temperature,2022-05-19 10:25:00,bias,low,790,54.86
136,temperature,2022-05-19 10:25:00,bias,medium,894,62.08
137,temperature,2022-05-19 10:25:00,bias,high,852,59.17
138,temperature,2022-05-19 10:25:00,noise,low,360,25.0
139,temperature,2022-05-19 10:25:00,noise,medium,360,25.0
140,temperature,2022-05-19 10:25:00,noise,high,360,25.0
141,temperature,2022-05-19 10:25:00,dropout,low,15,1.04
142,temperature,2022-05-19 10:25:00,dropout,medium,60,4.17
143,temperature,2022-05-19 10:25:00,dropout,high,240,16.67
144,temperature,2022-05-20 10:25:00,spike,low,2,0.14
145,temperature,2022-05-20 10:25:00,spike,medium,7,0.49
146,temperature,2022-05-20 10:25:00,spike,high,14,0.97
147,temperature,2022-05-20 10:25:00,stuck,low,90,6.25
148,temperature,2022-05-20 10:25:00,stuck,medium,240,16.67
149,temperature,2022-05-20 10:25:00,stuck,high,480,33.33
150,temperature,2022-05-20 10:25:00,drift,low,813,56.46
151,temperature,2022-05-20 10:25:00,drift,medium,759,52.71
152,temperature,2022-05-20 10:25:00,drift,high,727,50.49
153,temperature,2022-05-20 10:25:00,bias,low,733,50.9
154,temperature,2022-05-20 10:25:00,bias,medium,1075,74.65
155,temperature,2022-05-20 10:25:00,bias,high,820,56.94
156,temperature,2022-05-20 10:25:00,noise,low,360,25.0
157,temperature,2022-05-20 10:25:00,noise,medium,360,25.0
158,temperature,2022-05-20 10:25:00,noise,high,360,25.0
159,temperature,2022-05-20 10:25:00,dropout,low,15,1.04
160,temperature,2022-05-20 10:25:00,dropout,medium,60,4.17
161,temperature,2022-05-20 10:25:00,dropout,high,240,16.67
